link,title,location,description,company_name
https://wuzzuf.net/jobs/p/XaUyBtsKBYEl-Full-Stack-Team-Lead-Java-spring-boot-Angular-DX-Republic-Cairo-Egypt?o=24&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Full Stack Team Lead Java spring boot & Angular,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Computer Engineering · Angular · Computer Science · Spring Boot · SQL · Java · Information Technology (IT) · Spring · JavaScript,DX Republic -
https://wuzzuf.net/jobs/p/GWKOqGMnTCwo-Flutter-Developer-Autsera-Limited-Cairo-Egypt?o=25&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Flutter Developer,"Abbassia, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Game Developer · Agile · Game · Creative · Game Studio · Information Technology (IT) · Computer Science,Autsera Limited -
https://wuzzuf.net/jobs/p/OjZdCJyyszFW-IT-Administrator-Express-Construction-Cairo-Egypt?o=26&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Administrator,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Data · Computer Science · Information Technology (IT) · network · Software · system · System Administration,Express Construction -
https://wuzzuf.net/jobs/p/09xYLIqZrSXY-iOS-Developer-Madar-Soft-Alexandria-Egypt?o=27&l=sp&t=sj&a=data science|search-v3|hpb|spbg,iOS Developer,"Fleming, Alexandria, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Git · Information Technology (IT) · RESTful · RESTful APIs · Objective-C · iOS · Swift,Madar Soft -
https://wuzzuf.net/jobs/p/hBvUbhBkorHH-Senior-Data-Management-Engineer-Ejada-Cairo-Egypt?o=28&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Data Management Engineer,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · data engineer,Ejada  -
https://wuzzuf.net/jobs/p/acFTwvl3EDA7-Senior-NET-Core-Developer-International-Advanced-Cairo-Egypt?o=29&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior .NET Core Developer,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Business Analysis · Analysis · Computer Science · Data Analysis · System Analysis · Information Technology (IT) · HTML5 · JavaScript,International Advanced  -
https://wuzzuf.net/jobs/p/CJQWPh9JNcoP-Senior-Software-Business-Analyst-ERP-Our-Education-Cairo-Egypt?o=30&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Software Business Analyst / ERP,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Management · Project Management · Software Development · Agile · business · Computer Science,Our Education -
https://wuzzuf.net/jobs/p/L98KnaBTgk62-Senior-Business-Intelligence-Developer-FlairsTech-Cairo-Egypt?o=31&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Business Intelligence Developer,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · BI · Software Development · Analysis · Data Analysis · Software Engineering · Computer Science · English · Tableau,FlairsTech -
https://wuzzuf.net/jobs/p/DJ5VofdSWmu7-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt?o=32&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Analyst,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,Al Ahly capital holding - Al Ahly Tamkeen -
https://wuzzuf.net/jobs/p/YXbl274fk4GO-Senior-BI-developer-Etisalat-Egypt-Cairo-Egypt?o=33&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior BI developer,"Maadi, Cairo, Egypt ",Full TimeManager · 4 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · business · Communication · Computer Science · BI · Data Warehouse · Information Technology (IT) · Java,Etisalat Egypt -
